EventID,UserName,LogHost,DomainName,Status,Source,AuthenticationPackage,Time,LogonID,ParentProcessName,ParentProcessID,ProcessName,ProcessID,LogonTypeDescription,LogonType,FailureReason,Destination
4,User378309,Comp983832,Domain001,,,,124616,0xa56f6196,,,,,Network,3.0,,
4,Comp169281$,ActiveDirectory,Domain001,,,,125748,0x12217996,,,,,Network,3.0,,
1,Administrator,Comp037681,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140558,,,,,,,,,
0,User826463,ActiveDirectory,Domain001,,,,120255,,,,,,,,,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,139920,,,,,,,,,
6,User095760,Comp916004,Domain001,,,,119385,0x3e7,,,Proc811977.exe,0x2b8c,,,,Comp457365
4,Comp951253$,ActiveDirectory,Domain001,,,,124256,0x11fad94d,,,,,Network,3.0,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,119956,0x24b9b,,,Proc813133.exe,0x7c8,Interactive,2.0,The specified account's password has expired.,
1,Administrator,Comp146048,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140594,,,,,,,,,
2,Comp927239$,ActiveDirectory,Domain001,,Comp927239,Kerberos,124722,0x2f599a68,,,,,Network,3.0,,
6,User807772,Comp217434,Domain001,,,,123483,0x3e7,,,winlogon.exe,0x34c,,,,Comp457365
4,User642311,ActiveDirectory,Domain001,,,,125770,0xc25fadd,,,,,Network,3.0,,
7,AppService,Comp093748,Domain001,,,,124451,0x7997962,,,,,,,,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,139623,,,,,,,,,
4,User360206,ActiveDirectory,Domain001,,,,119622,0x359e2b4e,,,,,Network,3.0,,
4,Comp547638$,Comp805594,Domain001,,,,124577,0x1d0f88f0,,,,,Network,3.0,,
4,User783792,EnterpriseAppServer,Domain001,,,,125855,0x1d117fcf,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,124317,0x227bd7aed,,,,,,,,
1,Administrator,Comp972763,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,123563,,,,,,,,,
1,User920087,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140151,,,,,,,,,
7,Scanner,Comp967253,Domain001,,,,125927,0x24d75d2,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119980,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
4,Comp916004$,Comp916004,Domain001,,,,140025,0x3fe87872,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,120322,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,Scanner,Comp922922,Domain001,,,,124191,0xe27028,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,123366,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
6,User927159,Comp894088,Domain001,,,,120303,0xe035054,,,Proc746489.exe,0x3710,,,,ActiveDirectory
7,Administrator,Comp807801,Domain001,,,,139818,0xd3c26c1,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,140047,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
2,Comp517537$,ActiveDirectory,Domain001,,Comp517537,Kerberos,124268,0x11fb4a56,,,,,Network,3.0,,
7,AppService,Comp698972,Domain001,,,,140484,0x10043d6c,,,,,,,,
7,system,Comp393562,nt authority,,,,119058,0x3e7,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,123644,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
4,Comp916004$,Comp916004,Domain001,,,,124127,0x227a6ba6e,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119118,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,system,Comp640322,nt authority,,,,140616,0x3e7,,,,,,,,
1,Administrator,Comp695845,Domain002,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,123709,,,,,,,,,
4,AppService,Comp698972,Domain001,,,,123618,0xe8f9132,,,,,Network,3.0,,
3,Administrator,Comp124890,Domain001,,Comp124890,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140127,0x3e7,,,Proc433920.exe,0x798,Network,3.0,Unknown user name or bad password.,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125468,,,,,,,,,
4,User131425,ActiveDirectory,Domain001,,,,140739,0x1b7edbe3,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,120330,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,Comp916004$,Comp916004,Domain001,,,,120062,0x2261af8a1,,,,,,,,
2,Comp916004$,ActiveDirectory,Domain001,,Comp916004,Kerberos,139568,0x6fa7bcc,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,139737,0x22d96810f,,,,,,,,
4,User643724,Comp317953,Domain001,,,,124419,0x30c1bb94,,,,,Network,3.0,,
7,Scanner,Comp967253,Domain001,,,,125923,0x24d5746,,,,,,,,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124003,,,,,,,,,
1,User088017,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125599,,,,,,,,,
6,User721628,Comp916004,Domain001,,,,140439,0x3e7,,,Proc811977.exe,0x15e8,,,,Comp457365
4,User792544,ActiveDirectory,Domain001,,,,124343,0x2f496aeb,,,,,Network,3.0,,
6,User721628,Comp916004,Domain001,,,,125062,0x3e7,,,Proc811977.exe,0x1494,,,,Comp457365
6,User586515,Comp307122,Domain001,,,,123508,0x3e7,,,Proc858929.exe,0x23c0,,,,Comp457365
7,Comp916004$,Comp916004,Domain001,,,,119139,0x3e51cf80,,,,,,,,
6,User897275,Comp897367,Domain001,,,,125962,0x3e7,,,Proc813133.exe,0x1f00,,,,Comp457365
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,124964,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
2,Comp028802$,ActiveDirectory,Domain001,,Comp028802,Kerberos,125665,0x12201b4d,,,,,Network,3.0,,
4,Comp815265$,ActiveDirectory,Domain001,,,,123756,0x11eba385,,,,,Network,3.0,,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140593,,,,,,,,,
4,Comp939357$,ActiveDirectory,Domain001,,,,140567,0x1a88849e,,,,,Network,3.0,,
4,User089730,Comp156925,Domain001,,,,139487,0x195d305e,,,,,Network,3.0,,
2,User820567,Comp479002,Domain001,,Comp920253,NTLM,124352,0xce7bc85,,,,,Network,3.0,,
6,Administrator,Comp520997,Domain001,,,,124591,0x1bf3d,,,Proc152044.exe,0x598,,,,ActiveDirectory
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124851,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,139528,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
1,Administrator,Comp513431,Domain001,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,119203,,,,,,,,,
4,User927159,ActiveDirectory,Domain001,,,,140720,0x3829b9bc,,,,,Network,3.0,,
4,Comp916004$,ActiveDirectory,Domain001,,,,123400,0x680d847,,,,,Network,3.0,,
2,Comp916004$,Comp916004,Domain001,,Comp916004,Kerberos,140158,0x45084d00,,,,,Network,3.0,,
7,system,Comp086308,nt authority,,,,139482,0x3e7,,,,,,,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,119367,0x24b9b,,,Proc813133.exe,0x7c8,Interactive,2.0,The specified account's password has expired.,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,125787,0x24b9b,,,Proc813133.exe,0x7c8,Interactive,2.0,The specified account's password has expired.,
4,Comp916004$,Comp916004,Domain001,,,,119700,0x225f7d762,,,,,Network,3.0,,
4,Comp289719$,ActiveDirectory,Domain001,,,,124260,0x2f47b71e,,,,,Network,3.0,,
1,Administrator,Comp922922,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124365,,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,120134,0x2262414ec,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,125133,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,125884,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,Scanner,Comp515869,Domain001,,,,139723,0x7f1f3f2c,,,,,,,,
1,User431092,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,139787,,,,,,,,,
1,User164106,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,139984,,,,,,,,,
7,AppService,EnterpriseAppServer,EnterpriseAppServer,,,,119803,0xc1445ae,,,,,,,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,124312,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
7,Comp916004$,Comp916004,Domain001,,,,124892,0x227f2a16c,,,,,,,,
2,User174668,ActiveDirectory,Domain001,,Comp771302,Kerberos,119061,0x182c8c24,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,119771,0x225fdecb4,,,,,,,,
2,Comp437881$,ActiveDirectory,Domain001,,Comp437881,Kerberos,125027,0x18e1009c,,,,,Network,3.0,,
2,Comp339431$,Comp704126,Domain001,,Comp339431,Kerberos,120093,0x9a4b9d,,,,,Network,3.0,,
2,Comp916004$,Comp916004,Domain001,,Comp916004,Kerberos,124621,0x1d91ecb2d,,,,,Network,3.0,,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,119090,,,,,,,,,
4,Comp916004$,Comp916004,Domain001,,,,139961,0x1ddeb2da7,,,,,Network,3.0,,
4,Scanner,Comp728548,Domain001,,,,119715,0xe98ff5,,,,,Network,3.0,,
6,User811137,Comp916004,Domain001,,,,140588,0x3e7,,,Proc252919.exe,0x2730,,,,Comp457365
6,User412734,Comp916004,Domain001,,,,125755,0x3e7,,,Proc811977.exe,0x1494,,,,Comp457365
2,Scanner,Comp515869,Domain001,,Comp044772,NTLM,140306,0x7f38b061,,,,,Network,3.0,,
2,Comp110118$,ActiveDirectory,Domain001,,Comp110118,Kerberos,139513,0xd610ae7,,,,,Network,3.0,,
2,Scanner,Comp667556,Domain001,,Comp623258,NTLM,125718,0x2c4e48cd,,,,,Network,3.0,,
1,User437689,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,119213,,,,,,,,,
4,User848220,EnterpriseAppServer,Domain001,,,,124981,0x1f2e97a3,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,120243,0x44944bc6,,,,,,,,
7,Comp916004$,ActiveDirectory,Domain001,,,,119221,0xb7a00d0,,,,,,,,
6,User316449,Comp991643,Domain001,,,,120129,0x3e7,,,winlogon.exe,0x300,,,,Comp457365
1,Administrator,Comp896372,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124205,,,,,,,,,
4,AppService,Comp367857,Domain001,,,,140168,0x18a19e78,,,,,Network,3.0,,
